,bands,labels
0,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_133049_20180225_20180308_01_T1_band_chip193.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_011060_20190426_20190426_01_RT_label_chip158.tif
1,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_011060_20190426_20190426_01_RT_band_chip13.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_011060_20190426_20190426_01_RT_label_chip71.tif
2,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_011060_20190426_20190426_01_RT_band_chip111.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_011060_20190426_20190426_01_RT_label_chip215.tif
3,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_133049_20180225_20180308_01_T1_band_chip208.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_133049_20180225_20180308_01_T1_label_chip225.tif
4,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_133049_20180225_20180308_01_T1_band_chip114.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_011060_20190426_20190426_01_RT_label_chip161.tif
5,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_011060_20190426_20190426_01_RT_band_chip123.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_011060_20190426_20190426_01_RT_label_chip74.tif
6,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_133049_20180225_20180308_01_T1_band_chip290.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_011060_20190426_20190426_01_RT_label_chip118.tif
7,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_133049_20180225_20180308_01_T1_band_chip122.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_133049_20180225_20180308_01_T1_label_chip169.tif
8,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_133049_20180225_20180308_01_T1_band_chip224.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_133049_20180225_20180308_01_T1_label_chip55.tif
9,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_133049_20180225_20180308_01_T1_band_chip40.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_133049_20180225_20180308_01_T1_label_chip226.tif
10,/workspace/_libs/pond_extensive/pond_extensive ecuador_bands/LC08_L1TP_116060_20190221_20190221_01_RT_band_chip127.tif,/workspace/_libs/pond_extensive/pond_extensive ecuador_label/LC08_L1TP_011060_20190426_20190426_01_RT_label_chip34.tif
