,bands,labels
0,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_bands/LC08_L1TP_010062_20180502_20200901_02_T1_band_chip_1560_9750.tif,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_label/LC08_L1TP_010062_20180502_20200901_02_T1_label_chip_1560_9750.tif
1,/workspace/_libs/dl_library/integrated mangrove/pond_integrated mangrove_bands/LC08_L1TP_126054_20180312_20180320_01_T1_band_chip289.tif,/workspace/_libs/dl_library/integrated mangrove/pond_integrated mangrove_label/LC08_L1TP_126054_20180312_20180320_01_T1_label_chip289.tif
2,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_bands/LC08_L1TP_119033_20180311_20200901_02_T1_band_chip_2990_5070.tif,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_label/LC08_L1TP_119033_20180311_20200901_02_T1_label_chip_2990_5070.tif
3,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_130056_20180815_20180828_01_T1_band_chip48.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_130056_20180815_20180828_01_T1_label_chip48.tif
4,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_122064_20180706_20180717_01_T1_band_chip49.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_122064_20180706_20180717_01_T1_label_chip49.tif
5,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_bands/LC08_L1TP_126054_20180312_20180320_01_T1_band_chip279.tif,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_label/LC08_L1TP_126054_20180312_20180320_01_T1_label_chip279.tif
6,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_142049_20190315_20190325_01_T1_band_chip1005.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_142049_20190315_20190325_01_T1_label_chip1005.tif
7,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_bands/LC08_L1TP_125054_20170214_20200905_02_T1_band_chip_3380_5980.tif,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_label/LC08_L1TP_125054_20170214_20200905_02_T1_label_chip_3380_5980.tif
8,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip1590.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip1590.tif
9,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_130056_20180815_20180828_01_T1_band_chip146.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_130056_20180815_20180828_01_T1_label_chip146.tif
10,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_142049_20190315_20190325_01_T1_band_chip431.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_142049_20190315_20190325_01_T1_label_chip431.tif
11,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_128051_20180206_20180221_01_T1_band_chip183.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_128051_20180206_20180221_01_T1_label_chip183.tif
12,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_142049_20190315_20190325_01_T1_band_chip271.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_142049_20190315_20190325_01_T1_label_chip271.tif
13,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip122.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip122.tif
14,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip1555.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip1555.tif
15,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_bands/LC08_L1TP_116058_20180813_20200831_02_T1_band_chip_2210_7670.tif,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_label/LC08_L1TP_116058_20180813_20200831_02_T1_label_chip_2210_7670.tif
16,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_114063_20181002_20181010_01_T1_band_chip321.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_114063_20181002_20181010_01_T1_label_chip321.tif
17,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_142049_20190315_20190325_01_T1_band_chip423.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_142049_20190315_20190325_01_T1_label_chip423.tif
18,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip400.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip400.tif
19,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip1652.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip1652.tif
20,/workspace/_libs/dl_library/integrated mangrove/pond_integrated mangrove_bands/LC08_L1TP_120065_20180505_20180517_01_T1_band_chip258.tif,/workspace/_libs/dl_library/integrated mangrove/pond_integrated mangrove_label/LC08_L1TP_120065_20180505_20180517_01_T1_label_chip258.tif
21,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip344.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip344.tif
22,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_114063_20181002_20181010_01_T1_band_chip479.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_114063_20181002_20181010_01_T1_label_chip479.tif
23,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_129055_20190304_20190309_01_T1_band_chip416.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_129055_20190304_20190309_01_T1_label_chip416.tif
24,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_bands/LC08_L1TP_133049_20180225_20180308_01_T1_band_chip207.tif,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_label/LC08_L1TP_133049_20180225_20180308_01_T1_label_chip207.tif
25,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_bands/LC08_L1TP_129051_20180213_20180222_01_T1_band_chip412.tif,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_label/LC08_L1TP_129051_20180213_20180222_01_T1_label_chip412.tif
26,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_bands/LC08_L1TP_117058_20180905_20200831_02_T1_band_chip_13390_6240.tif,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_label/LC08_L1TP_117058_20180905_20200831_02_T1_label_chip_13390_6240.tif
27,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_bands/LC08_L1TP_010062_20180502_20200901_02_T1_band_chip_1690_9100.tif,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_label/LC08_L1TP_010062_20180502_20200901_02_T1_label_chip_1690_9100.tif
28,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_bands/LC08_L1TP_010062_20180502_20200901_02_T1_band_chip_2210_8190.tif,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_label/LC08_L1TP_010062_20180502_20200901_02_T1_label_chip_2210_8190.tif
29,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_142049_20190315_20190325_01_T1_band_chip62.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_142049_20190315_20190325_01_T1_label_chip62.tif
30,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_128051_20180206_20180221_01_T1_band_chip278.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_128051_20180206_20180221_01_T1_label_chip278.tif
31,/workspace/_libs/dl_library/integrated mangrove/pond_integrated mangrove_bands/LC08_L1TP_122064_20180706_20180717_01_T1_band_chip375.tif,/workspace/_libs/dl_library/integrated mangrove/pond_integrated mangrove_label/LC08_L1TP_122064_20180706_20180717_01_T1_label_chip375.tif
32,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_126045_20181006_20181010_01_T1_band_chip342.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_126045_20181006_20181010_01_T1_label_chip342.tif
33,/workspace/_libs/dl_library/integrated mangrove/pond_integrated mangrove_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip1225.tif,/workspace/_libs/dl_library/integrated mangrove/pond_integrated mangrove_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip1225.tif
34,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_129051_20180213_20180222_01_T1_band_chip543.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_129051_20180213_20180222_01_T1_label_chip543.tif
35,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_bands/LC08_L1TP_126054_20180312_20180320_01_T1_band_chip83.tif,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_label/LC08_L1TP_126054_20180312_20180320_01_T1_label_chip83.tif
36,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip163.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip163.tif
37,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_bands/LC08_L1TP_119033_20180311_20200901_02_T1_band_chip_2340_4290.tif,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_label/LC08_L1TP_119033_20180311_20200901_02_T1_label_chip_2340_4290.tif
38,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip1107.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip1107.tif
39,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_bands/LC08_L1TP_117058_20180905_20200831_02_T1_band_chip_11570_2860.tif,/workspace/_libs/dl_library/ecuador extensive/pond_ecuador extensive_label/LC08_L1TP_117058_20180905_20200831_02_T1_label_chip_11570_2860.tif
40,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_bands/LC08_L1TP_121065_20180816_20200831_02_T1_band_chip_10790_4680.tif,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_label/LC08_L1TP_121065_20180816_20200831_02_T1_label_chip_10790_4680.tif
41,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_129051_20180213_20180222_01_T1_band_chip135.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_129051_20180213_20180222_01_T1_label_chip135.tif
42,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_142049_20190315_20190325_01_T1_band_chip115.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_142049_20190315_20190325_01_T1_label_chip115.tif
43,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_bands/LC08_L1TP_118040_20181217_20200830_02_T1_band_chip_12350_6110.tif,/workspace/_libs/dl_library/long lot extensive/pond_long lot extensive_label/LC08_L1TP_118040_20181217_20200830_02_T1_label_chip_12350_6110.tif
44,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip1553.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip1553.tif
45,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_129051_20180213_20180222_01_T1_band_chip927.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_129051_20180213_20180222_01_T1_label_chip927.tif
46,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_bands/LC08_L1TP_142049_20190315_20190325_01_T1_band_chip427.tif,/workspace/_libs/dl_library/smallholder extensive AP/pond_smallholder extensive AP_label/LC08_L1TP_142049_20190315_20190325_01_T1_label_chip427.tif
47,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_125053_20181031_20181115_01_T1_band_chip354.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_125053_20181031_20181115_01_T1_label_chip354.tif
48,/workspace/_libs/dl_library/intensive/pond_intensive_bands/LC08_L1TP_129051_20180213_20180222_01_T1_band_chip486.tif,/workspace/_libs/dl_library/intensive/pond_intensive_label/LC08_L1TP_129051_20180213_20180222_01_T1_label_chip486.tif
49,/workspace/_libs/dl_library/integrated mangrove/pond_integrated mangrove_bands/LC08_L1TP_125054_20170214_20200905_02_T1_band_chip_2080_7930.tif,/workspace/_libs/dl_library/integrated mangrove/pond_integrated mangrove_label/LC08_L1TP_125054_20170214_20200905_02_T1_label_chip_2080_7930.tif
